[2024-06-20 00:11:26] app.INFO: BD connected succesfully [] []
[2024-06-20 00:12:03] app.INFO: BD connected succesfully [] []
[2024-06-20 00:12:25] app.INFO: BD connected succesfully [] []
[2024-06-20 00:13:07] app.INFO: BD connected succesfully [] []
[2024-06-20 00:13:20] app.INFO: BD connected succesfully [] []
[2024-06-20 00:13:45] app.INFO: BD connected succesfully [] []
[2024-06-20 00:14:17] app.INFO: BD connected succesfully [] []
[2024-06-20 00:25:32] app.INFO: BD connected succesfully [] []
[2024-06-20 00:31:43] app.INFO: BD connected succesfully [] []
[2024-06-20 00:32:09] app.INFO: BD connected succesfully [] []
[2024-06-20 00:32:43] app.INFO: BD connected succesfully [] []
[2024-06-20 00:33:58] app.INFO: BD connected succesfully [] []
[2024-06-20 00:34:04] app.INFO: BD connected succesfully [] []
[2024-06-20 00:35:19] app.INFO: BD connected succesfully [] []
[2024-06-20 00:37:33] app.INFO: BD connected succesfully [] []
[2024-06-20 00:38:12] app.INFO: BD connected succesfully [] []
[2024-06-20 00:38:17] app.INFO: BD connected succesfully [] []
[2024-06-20 00:38:18] app.INFO: BD connected succesfully [] []
[2024-06-20 00:40:52] app.INFO: BD connected succesfully [] []
[2024-06-20 01:07:33] app.INFO: BD connected succesfully [] []
[2024-06-20 01:07:40] app.INFO: BD connected succesfully [] []
[2024-06-20 01:07:47] app.INFO: BD connected succesfully [] []
[2024-06-20 01:07:57] app.INFO: BD connected succesfully [] []
[2024-06-20 01:07:58] app.INFO: BD connected succesfully [] []
[2024-06-20 01:07:59] app.INFO: BD connected succesfully [] []
[2024-06-20 01:08:54] app.INFO: BD connected succesfully [] []
[2024-06-20 01:08:57] app.INFO: BD connected succesfully [] []
[2024-06-20 01:08:59] app.INFO: BD connected succesfully [] []
[2024-06-20 01:09:00] app.INFO: BD connected succesfully [] []
[2024-06-20 01:09:32] app.INFO: BD connected succesfully [] []
[2024-06-20 01:09:46] app.INFO: BD connected succesfully [] []
[2024-06-20 01:10:55] app.INFO: BD connected succesfully [] []
[2024-06-20 01:11:31] app.INFO: BD connected succesfully [] []
[2024-06-20 01:11:44] app.INFO: BD connected succesfully [] []
[2024-06-20 01:12:13] app.INFO: BD connected succesfully [] []
[2024-06-20 01:12:17] app.INFO: BD connected succesfully [] []
[2024-06-20 01:13:13] app.INFO: BD connected succesfully [] []
[2024-06-20 01:13:16] app.INFO: BD connected succesfully [] []
[2024-06-20 01:13:19] app.INFO: BD connected succesfully [] []
[2024-06-20 01:14:45] app.INFO: BD connected succesfully [] []
[2024-06-20 10:47:53] app.INFO: BD connected succesfully [] []
[2024-06-20 10:48:01] app.INFO: BD connected succesfully [] []
[2024-06-20 10:48:02] app.INFO: BD connected succesfully [] []
[2024-06-20 10:49:19] app.INFO: BD connected succesfully [] []
[2024-06-20 10:51:04] app.INFO: BD connected succesfully [] []
[2024-06-20 10:51:06] app.INFO: BD connected succesfully [] []
[2024-06-20 10:51:48] app.INFO: BD connected succesfully [] []
[2024-06-20 10:51:48] app.INFO: BD connected succesfully [] []
[2024-06-20 10:53:49] app.INFO: BD connected succesfully [] []
[2024-06-20 10:53:54] app.INFO: BD connected succesfully [] []
[2024-06-20 10:53:57] app.INFO: BD connected succesfully [] []
[2024-06-20 10:54:26] app.INFO: BD connected succesfully [] []
[2024-06-20 10:54:44] app.INFO: BD connected succesfully [] []
[2024-06-20 10:54:49] app.INFO: BD connected succesfully [] []
[2024-06-20 10:54:52] app.INFO: BD connected succesfully [] []
[2024-06-20 10:54:52] app.INFO: BD connected succesfully [] []
[2024-06-20 10:55:29] app.INFO: BD connected succesfully [] []
[2024-06-20 10:55:33] app.INFO: BD connected succesfully [] []
[2024-06-20 10:55:55] app.INFO: BD connected succesfully [] []
[2024-06-20 10:55:56] app.INFO: BD connected succesfully [] []
[2024-06-20 10:55:59] app.INFO: BD connected succesfully [] []
[2024-06-20 10:56:35] app.INFO: BD connected succesfully [] []
[2024-06-20 10:56:35] app.INFO: BD connected succesfully [] []
[2024-06-20 10:56:36] app.INFO: BD connected succesfully [] []
[2024-06-20 10:56:36] app.INFO: BD connected succesfully [] []
[2024-06-20 10:57:07] app.INFO: BD connected succesfully [] []
[2024-06-20 10:57:10] app.INFO: BD connected succesfully [] []
[2024-06-20 10:58:57] app.INFO: BD connected succesfully [] []
[2024-06-20 10:59:58] app.INFO: BD connected succesfully [] []
[2024-06-20 11:00:06] app.INFO: BD connected succesfully [] []
[2024-06-20 11:00:42] app.INFO: BD connected succesfully [] []
[2024-06-20 11:00:44] app.INFO: BD connected succesfully [] []
[2024-06-20 11:00:47] app.INFO: BD connected succesfully [] []
[2024-06-20 11:01:36] app.INFO: BD connected succesfully [] []
[2024-06-20 11:01:40] app.INFO: BD connected succesfully [] []
[2024-06-20 11:02:41] app.INFO: BD connected succesfully [] []
[2024-06-20 11:02:47] app.INFO: BD connected succesfully [] []
[2024-06-20 11:02:54] app.INFO: BD connected succesfully [] []
[2024-06-20 11:02:55] app.INFO: BD connected succesfully [] []
[2024-06-20 11:02:55] app.INFO: BD connected succesfully [] []
[2024-06-20 11:02:55] app.INFO: BD connected succesfully [] []
[2024-06-20 11:02:55] app.INFO: BD connected succesfully [] []
[2024-06-20 11:02:56] app.INFO: BD connected succesfully [] []
[2024-06-20 11:33:10] app.INFO: BD connected succesfully [] []
[2024-06-20 11:33:11] app.INFO: BD connected succesfully [] []
[2024-06-20 11:33:14] app.INFO: BD connected succesfully [] []
[2024-06-20 11:33:27] app.INFO: BD connected succesfully [] []
[2024-06-20 11:33:29] app.INFO: BD connected succesfully [] []
[2024-06-20 11:33:32] app.INFO: BD connected succesfully [] []
[2024-06-20 11:34:19] app.INFO: BD connected succesfully [] []
[2024-06-20 11:34:25] app.INFO: BD connected succesfully [] []
[2024-06-20 11:34:28] app.INFO: BD connected succesfully [] []
[2024-06-20 11:34:50] app.INFO: BD connected succesfully [] []
[2024-06-20 11:34:51] app.INFO: BD connected succesfully [] []
